PC1,PC2
2.231276719156148,0.024009945268265553
0.07583881226329121,5.083900992882579
-0.483345443063835,1.2643691680534386
-0.14437808022356646,1.5150594366776498
-0.1912529087463567,0.12365444311691746
-0.10066390308427821,-0.7832258379251347
-0.14998904718486897,0.3757598966588424
-0.3660011694234093,0.04335784561320233
5.726860668032211,-0.12087829732030074
-0.22620419947164586,-0.1157103693294023
-2.1071928948734045e-15,-2.7437407485330777e-18
-0.37574544005441535,0.2432947015361856
-0.19565872430726736,-0.5406430474242642
-0.19246110313292375,-0.6886077480827536
-0.3608625656767109,-0.11883719767537636
-1.1523711143838931e-15,-6.58309147471477e-15
-0.14354898510068492,-0.3618551710014417
-0.09301564661352663,-0.882135570639917
-0.23024331469194045,-0.2224385798148097
-0.2738745083156944,-0.526335901064241
-0.34441449551345654,1.7455389681814248
-0.2254244730626762,0.20612097649683328
-0.22545808786429872,0.07919764927288261
-0.09724340822334332,-1.0564505765457621
-0.2977295073693854,-0.26302486070451464
-0.2648279050766135,0.01693931106409188
-0.09171206978835474,-0.5538721476242187
-0.2738745083156944,-0.6114778297630347
-0.3649577055663763,-0.07492305737136992
-0.2648279050766135,0.01693931106409188
-0.2977295073693842,-0.7418766488866584
-0.2738745083156944,-0.5263359010642409
-0.36977654719564046,-0.05386689100769003
-0.2459059154786143,0.137003620822658
-0.03779246373733029,-0.4097944846270875
-0.30982990512878383,-0.36340718447771153
-0.2350621563212048,-0.45105518905262304
-0.10802751823145768,-0.4824663713296067
-0.17826257272558516,-0.9259274039768947
